username,text
mins_a6890,"سلام ثمین هستم متولد ۶۸
کرج زندگی میکنم کارشناس ارشد تربیت بدنی هستم و عاشق ورزش و مسافرت و آشپزی هستم در حال حاضر کارمندم و از صفات خوبم خوش خنده و پر انرژی و مهربون هستم و صفات یکم بد حساس و زود رنجم.
در جست و جوی پارتنر ایدآل اینجا کامنت گذاشتم لطفا منو پیدا کن بریم سر خونه زندگیمون 😁. از معیارهامم برای انتخاب پارنتر قد متوسط رو به بلند، مهربون، اهل ورزش و سفر و تفریح و رابطه براش اولویت باشه."
mohammadnazeri02,محمد هستم متولد فروردین هفتاد. ساکن تهران. لیسانس مهندسی مکانیک خوندم و چند سال صنعت کار کردم ولی بعدش روزنامه نگار شدم و ارشد مطالعات آمریکای شمالی خوندم. دو سالی هست خودم سایت دارم و یه مجموعه رو مدیریت می‌کنم. برخوردهای عادیم تو رابطه بیشتر با شوخی و خنده هست و زمان‌های خاصی دوست دارم حرف عمیق بزنیم و کیفیت رابطه رو بررسی کنیم. دوست دارم با یارم رفیق صمیمی باشیم و راحت حرفامونو بزنیم. با شنیدن درد دل و حتی غر هم اکیم و بخشی از رابطه میدونمش. حتی اگه طرفم دید منفی به جهان داشته باشه مشکلی ندارم ولی برام مهمه تو ذوق هم نزنیم و تا جای ممکن تو زندگی خوش باشیم. وضع مالی خوبی دارم ولی اهل زندگی خیلی تجملاتی نیستم. کتاب زیاد میخونم و نویسندگی، تئاتر و موسیقی رپ دوس دارم. ظاهر برام مهمه و بهتره محل سکونتمون نزدیک باشه و کوچیکتر یا همسن خودم باشه.
_aatenaa_,@sadafmasnavi
faribayezamani,باورم نمی‌شه یلدا پُست دیت‌یابی گذاشته و دیگه لازم نیست من کامنت بذارم و خودم رو معرفی کنم. دیت من خوشحالم که پیدات کردم. 😍
__maryam_soltani__,Ziba❤️😍
amirrrp,@farhadkarimu1996  فرهاد اینجا بخون
marii.sadeghi69,😍😍😍👏
ayzaak_nioton,به نظر من آدم تو شلوغی گم میشه و نمیتونه تمایز خودشو نشون بده ولی خب بالاخره شانسمو امتحان میکنم.من اهل گچسارانم ولی قشم زندگی میکنم. همین اول بگم برای من ظاهر مهمه و تا از ظاهر کسی خوشم نیاد بقیه معیارا به چشمم نمیاد و از نظر من نه ظاهر جای اخلاق رو میگیره و نه اخلاق جای ظاهرو. از ظاهر که بگذریم من خودم یه آدم در ظاهر منطقی و خشک ولی به شدت عاطفیم، میدونم شاید عجیب بیاد ولی کسایی که منو میشناسن میفهمن من چی میگم. خونواده تحصیل کرده‌ای دارم و دوس دارم طرفمم تحصیل کرده باشه. دوس دارم طرفم به شدت عاطفی باشه ولی شخصیت وابسته‌ای نداشته باشه و اینکه به لطافت‌های روحی و جسمی خودش اهمیت بده از دخترای حاضر جواب که میخوان حقشونو با بحث کردن بگیرن خوشم نمیاد. زود عصبی میشم ولی اصلا کینه‌ای نیستم هم زیاد حرف میزنم هم زیاد گوش میدم
ramin.1980,من رامینم چهل دو سالمه ،اقتصاد سیاسی خوندم،مدیر هولدینگ خانوادگیمون هستم،ساکن شمال تهرانم و مایلم اگر با کسی دیت انجام بدم ساکن مناطق یک و سه تهران باشه
narges_nrzn,😍😍😍😍
nowandmemory,خب من بیست و هفت سالمه و خرم آباد زندگی میکنم . اومدم اینجا کامنت بخونم و اصلا قصد دیت ندارم . اصلا و ابدا 😐😂 خدایا به امید تو ...🤲🏻
nikoujii,کم کم این پستا تبدیل میشه به  پست هاس جهانی 😁
marzi.so,😂😂
zahraaa_jafari_,😍😍😍😍
badiei.zahra,"من نمیتونم مث پیکاسو برات نقاشی بکشم
نمیتونم مث حافظ و مولانا 
شعر بگم
یا مث فروغ ،
احساسات رو در کلمات جاری کنم ..
صدام مث صدای استاد شجریان دلنشین نیس
و نمیتونم مث شاملو، عاشقانه هام رو نجوا کنم ..
اما می تونم مث مجنون برات بمیرم
مث نجار محلمون، بنا کننده شادی هات باشم .. 
مث رفتگر ها هر شب غمهات روجمع کنم و بیرون بریزم؛ من میتونم مث خودم باشم ...
می‌تونم با دستای خالی، دوستت داشته باشم 
متن خوبی بود برای ابراز عشق 🥰🥰🥰"
maryam_i_18,عزیزم کوجایی😂
_azi_nu_90,😍👏👏👏
sharz_naz,@moeinrahimmi اینجا بنویس
ghazaliiii.nzr,be nazaram shoghleto avaz kon y app date yabi ra bndaz😂😂
rouzbehfalaki,چه زوج دوست داشتنی 😍🌱
yaldarta,@ghazaliiii.nzr 😂😂
skincare.paniz,از ما که گذشته، نمیشه پیامم بازدید بخوره پیجم بره بالا؟😢😂😂❤️
yaldarta,@rouzbehfalaki 😍😍
najmeh_jahromi_65,@yaldarta بلایند دیت عالی بود یلدا جان 💙😍🙏
nowandmemory,@shadi.eco خواهش میکنم 🥰 پیج ات زیباست و حس خوبی منتقل میکنه 🌸😘
teti.brand,@haameedt ابعاد زنبیلو میگفتی😂😂
mahdiehabi,@maryam_i_18 😂
ha_ni_kh,منم که باز میگم هرچی بزرگترا بگن ، البته خودم دیگه خیلی بزرگ شدم
teti.brand,@maryam_i_18 عالی بود😂😂😂
fatemeh.hashemi.pics,معرفی ها رو خوندم و چقدر از اونهایی که به شناخت کامل از خودشون رسیدن خوشم اومد و برعکس بعضیا بودن ک ارتعاش منفی میفرستادن که نیا سمت من . امیدوارم بازم مثل سری های قبل دوستان زیادی برای هم پیدا بشن
lleilaaaam,@yaldarta 🙊😉❤️
naghmehras,@farhoodvosoughi فرهود :))))) #آریایی_کره_نگیر :)))))))))
zar_dooz,یه خانمی به قدری ریز با جزییات خودشو معرفی کرد که من الان میتونم برم خواستگاریش دیگه نیازی به اشنا شدن نیست😂
amin_sharifirad_,دوستان عزیز مشهدی.امین هستم.از پست قبلی دیت یابی و دوست یابی ما یه گروه تشکیل دادیم که حدود ۵۰ نفر هستیم(دختر و پسر)کسی اگر مایل بود دایرکت بهم پیام بده تا لینک براش بفرستم.بچه هایی که داخل گروه هستن ساکن مشهدن همشون.
romina.bodaghi,"من رومینام 
متولد ۷۵ ام 
اهل تهران ساکن شرق تهران 
مهندس شیمی هستم پنج سال هم هست کار می کنم ... نقطه قوت و ضعف من یه چیز مهربونیه زیاد .. عاشق کشف کردن جاهای جدید و سفر کردن هستم ... تک فرزندم اما لوس نیستم یا حداقل سعی می کنم نباشم 😊
من قدم ۱۶۳ و تو ظاهر اقایون قد خیلی برام مهمه .... صمیمت توی رابطه و صادقت برام خیلی مهمه 
بقیه چیزها تو زمان مشخص میشه 
با احترام 🤍"
felamingo_92,مرتضی هستم(این پیج فیک ه) ، اهل تبریز و ساکن تهران، 29سالمه، مهندس کنترل میباشم، ادم خویشتن دار و صبوری هستم، میگن ک فان هم هستم، از دخترایی ک توی جو و فضا سیر میکنن خوشم نمیاد،دوس دارم با کسی باشم ک بموقش جدی بموقش شوخ و... در کل شرایط سنجیش خوب کار کنه ، چون من هم اینچنین ادمی هستم، و دخترای شیک پوش (نه جلف) و پرحرف  برام جذابترن،
yaldarta,@parisa_entzri مرسی عزیزم😍
faravaz3,@farhoodvosoughi این روحیه طناز حتی در کامنت کذاری، خیلی خوبید به خدا
iamtanazz,مشهد چه خبر ؟ 😅
elham_shrfn,کپشن عالی بود توی چندتا پاراگراف مهمترین نکته ها رو گفتی یلدای دوست داشتنی❤️
tahere.aa,پست اول رو ندیدم، به پست دوم دیر رسیدم و کلی کامنت بود، هرچی کامنتا رو خوندم کسی از شاهرود نبود :))) این پست هم فقط اومدم کامنت بخونم 🚶‍♀️
mehrdad_alone031,سلام من مهردادم از اصفهان بیست هشت سالمه لیسانس دارم  و شاغلم  در ظاهر ارومم ولی یه درون شیطون و شوخ دارم . از نظر ظاهری قد بلند و هیکلی نیستم . ظاهر طرفم تا حدودی برام مهمه اهل رابطه لانگ دیستنس نیستم و ترجیح میدم نزدیک باشیم که کنار هم سینما بریم پیاده روی کنیم و کیف کنیم از باهم بودن  البته اینم باید بگم که تایم ازادم کمه ولی همونم دوس دارم کسی باشه که کنار هم باشیم...
shadi.eco,@nowandmemory مرسی به پیجم نگاه کردی🙃😘
mari_njri71,@farhoodvosoughi شماهم😂😂
ein.sin.shin,@farhoodvosoughi من لایکت کردم فرهود خان طناز، امیدوارم هر چه زودتر خبر خوب رو بشنوم😂
yaldarta,"@lleilaaaam 😂😂😂 
ببین اپشن پیدا کردن اوکیه برای هر دو طرف اما خیلی با نمک گفتی اخرش همه رو از دست میدن"
v_number13,خیلی زیبایید، واقعا❤️
fatemeh.delbari1989,@haameedt 🖐️🖐️😁
behnoosh.rn,اول اینکه عکستون خیلی خوشگله❤️ و بعدم مرررسی از این حرکت خلاقانه و جسورانه یلدای عزیز@yaldarta ❤️
teti.brand,با چه سرعتی کامنت گذاشته میشهههههه😄😄😄
parisa_entzri,چقدر قشنگين❤️
zar_dooz,چقدر همه قشنگ دارن خودشونو با دیتیل توضیح میدن 😮خداروشکر من دیتمو قبلا رفتم و کار تموم شده وگرنه با زهرا هستم 33 از ناکجا اباد کامنتو میبستم و هیچکی تا اهر عمرم کامنتمو نمیخوند😂😂😂انقد توی توصیف خودم گیج و گنگم😂😂
hamide.om,@ayzaak_nioton  چقدر پرچم قرمز :)))) استرسی و عصبی شدم با خوندن کامنت شما
minoo.3363,طبق معمول کسایی که دنبال دیت نیستید و اومدید فقط کامنت بخونید بفرمایید بوفه دور هم یه چایی و کوکی بزنیم و کامنت بخونیم 😌🧉🧃🧋🥤🥃🥂🍻🍺🍹🍸🍷🍾🍶🍵🫖☕️🥛🍯🍮🍭🍬🍫🥧🧁🍰🎂🍪🍩🍨🍧🍦🥡🥠🥟🍡🥮🍥🍤🦪🍣🍢🍠🍝🍜🍛🍚🍙🍘🍱🥫🧂🧈🍿🥗🥣🫕🍲🥘🍳🧆🥙🫔🌯🌮🥪🌭🍕🍟🍔🥓🥩🍗🍖🧀🧇🥞🥯🥨🫓🥖🥐🍞🌰🥜🍄🥕🥑🍓🍒🥝🫐🍑🍐🍏🍎🥭🍍🍋🍊🍉🍇
haameedt,"من حامدم ۳۷ سالمه تهرانم ارشد ایمنی دارم مدیر ایمنی شرکت دارویی هستم.
برونگرام، اپن مایندم، اهل سفر پادکست مهمونی و دورهمیم، دوبار پست گذاشتم نشده بعیده این بازم بشه 😁 ولی گذاشتم دیگه 
بدو بدو حراجش کردم خونه دار زنبیل و‌ بردار و بیار 😁"
fatemeh.ghasemi19.93,@farhoodvosoughi 😂😂😂
iamtanazz,@farhoodvosoughi 😂👌🏼
yaldarta,@farhoodvosoughi متشکرم فرهود جون😂 دهنم سرویس شده البته در این مسیر ولی خب پیش میریم 💪
fereshte__shabani_,من فقط خواستم سلامی عرض کرده باشم عزیزان😂♥
lleilaaaam,توی این کامنت ها فقط بعضی پسرها ۱۰ ۲۰ تا اپشن پیدا میکنن که به همه پیام میدن و همه رو میخوان هندل کنن و در نهایت هم همرو از دست میدن 😂
mahboob13851385,محبوبه هستم ۳۳ سالمه تهران هستم دانشجوی دکترام دختر صبور مهربون و با گذشتی هستم یکم زودرنجم دنبال کسی هستم که بتونم باهش ی رفیق همیشگی همدل و پایه باشم خوش اخلاق باشه و با احساس
shirin_homayoun,@farhoodvosoughi چون پیجتون رو دوست دارم لایکتون کردم 🌹
bahar_plz,❤️❤️👏
rahatarin_1992,"سلام
من یه دختر ۲۹ ساله برونگرای پرانرژی احساسی ام که دوست دارم تو رابطه برای هم وقت و انرژی بذاریم. به همین خاطر دنبال وقت گذرونی های موقتی نیستم. دوست دارم طرف مقابلم مثل خودم فعال و سرزنده باشه.
من عاشق فیلم و تئاتر و گل و گیاهم و کلی حرف برای گفتن دارم.
راستی خودم ساکن تهران هست و به لانگ دیستنس اعتقادی ندارم.
اگه منو درک می‌کنی، دنبال آرامشی و فکر می‌کنی حرف مشترک داریم و اهل دود هم نیستی، بیا دایرکت شانسمون امتحان کنیم هوم 😉؟"
rasta.y__,سلام به همه عزیزانی که اینجا هستن .دومین پست دیت یابی برای من بسیار عالی عمل کرد البته من اولین پست رو اصلا ندیده بودم . و با پست دوم با کسی آشنا شدم که بی نظیره . دقیقا امروز پنجمین ماهه که با همیم و از لحظه لحظه اش لذت میبرم خواستم بگم که تلاش کنید تا انتخاب خوبی داشته باشید . ناامید نشید و نکاتی که یلدا جون گفتن رو رعایت کنید.یلدا جون ممنونم ازت.😘😘😘@yaldarta .
faribayezamani,مرسی عزیزم 😍❤️ همین‌طور برای شما
ikhonedar,من از کپشن لذت بردم. خیلی دیدگاه‌هاتو دوست دارم یلدا❤️
arghavan_bakhshi,ارغوانم ۲۹ سالم هست از رشت. دنبال یه رابطه خوب و سالم هستم که کنار هم در زندگی رشد کنیم سفر بریم و از زندگی لذت ببریم. رابطه لانگ دیستنس هم نمیپسندم. ممنون که کامنتم رو تا آخر خوندین 😁
shadi.eco,@nowandmemory 😂
saraasna,@ramin.1980 سلام یعنی وضع مالی هم سطح خودتون باشه؟؟؟
iamyaasaamaan,سلام من یاسمنم متولد ۷۴ شهریوریم و یه آدم میانگرام عاشق تفریح و سفر و طبیعت گردی اما از طرفی دلم برای کتاب خوندن پر میزنه اهل ورزشم هستم و کارشناسی مهندسی شیمی دارم عاشق غذا و کیکم هستم یادم رفت بگم اهل تهران هستم کلا دنبال ادم جدیدم فرقی نداره پسر داره یا دختر دوست دارم اگر بتونیم باهم اکیپ درست کنیم اما اگر پسر خوبیم این وسطا بود که چ بهتر
farhoodvosoughi,"اگه موافقین که حرکت یلدا خیلی حرکت خوبیه کامنت منو لایک کنین. اینجوری هم از یلدا تشکر کردیم، هم کامنتم میاد بالاتر و دخترای بیشتری منو می‌بینن😂
#آریایی‌نیستی‌اگه‌لایک‌نکنی
#هموطن‌بیا‌برای‌یک‌بار‌هم‌که‌شده‌متحدباشیم 
#کامنتولایک‌کن‌تاهمین‌امروزیه‌خبر‌خوب‌بشنوی :))"
farzingh80,@mins_a6890 😍😍
nowandmemory,@shadi.eco 😂🤦🏻‍♀️
siminmohseni63,@haameedt 😂😂
fateme_ch74,قشنگا❤️
somayehghasemi,@ramin.1980 چقدر عجیب آقای رامین،یعنی حاضرید انتخابتون رو به مناطق خاص محدود کنین و اینجوری فرصت آشنایی با ادمایی که شاید مناسبتون باشن رو از خودتون بگیرین !!؟
farzingh80,سلام فرزین هستم ۴۲ ساله کرج زندگی میکنم فوق ليسانس کامپیوتر اهل هنر  به ویژه موسیقی  ساز میزنم (ویلن) اهل سفر و طبیعت و روانشناسی  ویزگی اخلاقی هم آرام منطقی برونگرا
__maryamheshmti,عزیزمممم چقد شما خوبین😍🔥
ayzaak_nioton,@yaldarta درود بر شعور بالای شما. ممنون از لطفتون
zara_bkp,یلدا جونم من کاپشنتو دوست میدارم 😍
marjan.zavvar,ولی بازم خودت رو عشقه یلدا♥️😘
banoo_h.ht,سلام من هدیه هستم 22سالمه تو تبریز زندگی میکنم اما اصالتا تهرانیم دانشجو ترم آخر مهندسی صنایع تو ارومیه ام و همش تو رفت اومدم ، عاشق گشتن و تئاتر و تجربه های جدیدم معمولا پایه ام برای هر کاری مغرور نیستم ، اگر بخوام از اون قسمتم که به نظر خودم خوبه بگم معمولا خوش خنده ام ‌و در مقابل سختی ها انعطاف پذیرم تو مشکلات با حرف زدن مشکلم رو حل میکنم و قهر نمیکنم و نقطه بدم میتونم بگم که اگر کسی به من زور بگه باهاش لج میکنم .از معیار هامم حفظ چهارچوب ادب و احترام برام خیلی مهمه ، لطفا مغرور نباشه چون من تحمل ندارم و اگر سیگاری نباشه بهتر میشه و قد متوسط رو به بالا داشته باشه و اهل تفریح و گشتن باشه و طبیعتاً رابطه براش اولویت داشته باشه
hamed.hoyod.moradi,سلام اول از همه بگم این که تو پروفایل کنارمه خواهرمه یه وقت فکر نکنید از اون ادمایی ام که متعهد نیست. خیلی راه و روش دوست یابی بلد نبودم هیچ وقت خانوادمون عقاید مذهبی دارن و شاید به خاطر تربیت شدن با این عقاید من هیچ وقت جرات نکردم برم تو خیابون یا تو دانشگاه یا هر محیط اجتماعی دیگه ایی به دختری بگم حاضری با من دوست بشی ؟ البته خب همشم این نبوده شاید خودمم از جواب نه شنیدن و از صایع شدن میترسیدم شایدم پیش خودم میگفتم اگه من برم به دختری پیشنهاد بدم یکی ام میره به خواهر من پیشنهاد میده خلاصه فکرا و افکار زیادی تو سالهای گذشته باعث شدن من هیچ دوست دختری نداشته باشم اصلا ادم مذهبی نیستم و به شدت به کتاب های فلسفی و به خصوص شوپنهاور علاقه دارم کارشناسی ارشد مهندسی نفت دارم و ۳۰ سالمه و ساکن اصفهانم به شدت عاطفی ام و مهربون متولد مهر ماهم هستم . مشغول به کار هستم تو شرکت های تابع وزارت نفت و بازرسی کشتی های نفتی را انجام میدم . به شدت صادقم و همین صداقتم خیلی جاها کار دستم داده از کسی خوشم بیاد از همه جونم براش مایه میزارم میتونید از خواهرم برید بپرسید 😂😂. خیلی ساد و راحت حرف میزنم اهل تعارف نیستم و به شدت دوست دارم خود واقعیم باشم . قصدمم از این کامنت پیدا کردن دوست دختر نیست قصدم پیدا کردن کسی هست که بتونم با شناخت کامل همدیگه همه عمرم را کنارش سپری کنم خیلی ورزش و فوتسال دوست داشتم اما الان به خاطر شغلم دیگه وقت نمیکنم به شدت طرفدار رئال و منچستر و رونالدو هستم . ادم کاملا مستقلی هم هستم و همیشه روی پای خودم بودم از اول دبیرستان تا الان که سی سالم شده . قدم صدو هفتاد و پنج و وزنمم حدود هفتاد و پنج هست . یه ذره موهام کم پشت شده صادقانه بگم ولی خب قصد دارم مو بکارم دروغ نگم 😂
mosafer_kouchooloo,باراولی که دیدم چنین پستی گذاشتی شوک شدم یلدا و گفتم از یلدا بعیده. ولی الان که کامنتا رو میخونم میبینم بدم نیست. منتها بازم من که نمیتونم خودمو راضی کنم تو کامنتها خودمو پرزنت کنم😡
yaldarta,@rasta.y__ ای جانم چه خوشحال شدم❤️
ramin.1980,@somayehghasemi من واقعا وقت و حوصله ترافیک را ندارم
yaldarta,خانم فری نس نمیشه منشنتون کرد بستید این آپشن رو: عزیزم من همچین حسی نکردم. زن و مرد نداره. طرف داره از ویژگی های اخلاقیش میگه که یه سری هاش مثبته یه سری هاش منفیه. اتفاقا چه بهتر که صادقانه باشه. اگه همه فقط خوبی بگن و یا بر اساس مترهای زمانه بنویسن که نمیشه واقعی رفت سمت کسی. باز میگم از کسی خوشتون نیومد رد شید ازش . وقت نذارید و وقت نگیرید.
faezeh.ghr,سلام به همگی و ممنون از یلدای عزیز و دوست داشتنی. من کامنت خوندنا رو دوست دارم. خیلی عالیه. انشالله همه به شخص مورد نظرشون برسن😍
zohreh.sayenpour,😍👏 چقده قشنگین
z.slmni,@sadaf.88887  اینجور که تو نوشتی منم دلم خواست باهات دوست شم😁😁😂
