username,text,likes,created_at
aidanaghash,چقدر شما خوبید و به فکر مجرد ها هستین. پاینده باشید❤️❤️❤️,7,"3/22/2022, 9:01:35 AM"
s.mortaza.m,اهل تبریزم /روزگارم بد نیست/ خرده هوشی دارم/ سر سوزن هیچّی! مدل ۷۴ فابریک😂,51,"3/22/2022, 9:05:48 AM"
hedie.tajerbashi,@marjaan_alz 😂😂😂,4,"3/22/2022, 9:05:27 AM"
about.reyhn,@reyhanphotograph,1,"3/22/2022, 9:05:07 AM"
ir_an_dokht,@rezaee_bahar_25 ای جان.الهی خوشبخت باشی,2,"3/22/2022, 9:04:48 AM"
_.herdaughter._,"آقا آقا یه چیز دیگه اینکه لطفا اگر تجربه موفق داشتید بگید بلکه مایی که ناخودآگاه نسبت به آشنایی مجازی کمی بدبینیم و اصطلاحا میگیم "" اونایی که میشناختیمشون این شد، وای به حال نشناخته""  کمی امیدوار شیم",83,"3/22/2022, 9:04:20 AM"
nojaan_clinic,😍,0,"3/22/2022, 9:04:13 AM"
ha_ni_kh,🤦‍♀️ هرچی بزرگترا بگن,26,"3/22/2022, 9:04:12 AM"
amir_solhjoo,سلام از تهران هستم بیست و سه سالمه فیزیوتراپیست هستم‌. تو زندگی عاشق سینما و فیلم دیدن هستم دنبال کسی هستم که مثل من عاشق سینما و شعر به شکل حرفه ای باشه و. همینطور پایه برای گردش و البته ساکن تهران هم باشه...من چون بیشتر خودم درونگرا هستم دنبال کسی مثل خودم نیستم زیاد که کم حرف باشه و دوست دارم ادم معاشرتی اطراف خودم داشته باشم ادمی که مستقل باشه و شاید گوشه ی ذهنش به مهاجرت هم فکر بکنه ممنون,46,"3/22/2022, 9:03:56 AM"
sepide_hshm,سلام. 35 سالمه از بابل. آدمی که تلاشش اینه خودش باشه و معمولی. ارشد مدیریت. شاغلم. میانگرا.تنها دارایی م کتابهامن. بگذریم از مطالعه و طبیعت گردی و... دنبال رابطه با آدمی م که به درک زندگی رسیده باشه. فهیم و با اخلاق. دنبال رشد و ساختن باشه. با معرفت و همسفر خوب.,40,"3/22/2022, 9:03:38 AM"
delara_aghdam,"من دل‌آرا‌ هستم، ۳۲ سالمه‌، شاید ظاهرا‌ کوچیکتر‌ به نظر بیام، اما برام مهمه با کسی باشم که همسن یا بزرگتر ازم باشه. هوش هیجانی بالایی دارم و به شدت احساساتی‌ام، پس تو روابطم دقت میکنم، و آدم رابطه موقت نیستم.
گیاهخوارم، و ترجیحم‌ یه یار گیاهخواره یا حداقل کسی که کتمان‌ نکنه فواید اخلاقی گیاهخواری رو! حتما میخوام با کسی باشم که آتییست یا ته‌ش ندانم‌گرا‌ باشه! 😁 همچنین مخالف مردسالاری‌ام و از حقوق انسانی خودم نمی‌گذرم! دوست ندارم هیچوقت بچه‌دار شم، اگه روزی شرایط مالی و روانی خوبی داشتم، ترجیح میدم بچه‌هایی رو به سرپرستی بگیرم!
عاشق طبیعت و مادر زمین هستم، شدیدا مسائل زیست‌محیطی برام مهمن‌! از ورزش کردن، پادکست گوش‌دادن و فیلم دیدن لذت میبرم! عاشق فلسفه و روانشناسی هستم! بی‌تفاوت نبودن به مسائل سیاسی برام یه بایده، چون اینجا خاورمیانه‌ست! به اخلاقیات نیز شدیدا پایبندم‌! 😄
در کل اینو نوشتم ببینم چقدر میتونم خودمو‌ پرزنت کنم وگرنه‌ امید چندانی ندارم! کما اینکه حداکثر تا دو سال دیگه از ایران میرم! 😅 پس قناعت میکنم حتی به یک دوستی ساده با کسی که ساکن کرج باشه و اهل کوهنوردی و گشت‌ و گذار و بلند خندیدن و در لحظه زندگی کردن! کسی که از بحث‌‌ کردن باهاش در مورد فلسفه زندگی لذت ببرم! 😊",126,"3/22/2022, 9:03:21 AM"
afsaneh_talebi73,من که ازدواج کردم اما اگر مشهد کسی بود و می‌خواست بره سر قرار و روش نمیشد تنها بره میتونه روی من حساب کنه. راستی اینم بگم که کلا مود من مشاوره نیستا. یعتی اینجوری نیست بگم این و بپوش این و بگو این کار رو بکن فلان و اینا. به نظرم خودت باش اگر همیشه لباس اسپرت میپوشی این سری نمیخواد با کفش ۲۰ سانت پاشنه بیای، حالا ۲ سانت هم بود کافیه نبود هم نبود. من فقط حضورم دل گرمیه 😃 مطمئن باش ضرر نمیکنی😉 من خودم واسه سر قرار رفتن نه به کسی گفتم نه با کسی رفتم ولی اینقدر بهم خوش گذشته که میخوام از دور تماشا کنم😍,73,"3/22/2022, 9:03:12 AM"
niki___collection,امیدوارم تمام دختر ها و پسر ها نیمه گمشدشونو اینجا پیدا کنند درست مثل خود شما زوج عزیزی که به زیبا تر شدن دنیا  کمک کردین با حضورتون 😍😍😍😍,16,"3/22/2022, 9:03:11 AM"
mobinmhb,"سلامی دوبارخدمت همه ناکامین سه راند قبلی مثل خودم (دیگه هرکی مونده تا الان مطمئن باشید هم وفاداره هم پیگیر و با پشتکار)😂
من ۲۷ سالمه در کرج و تهران ، از اونجایی که معیار قد واسه خیلیا مهمه بگم که قدم بلند نیست😂، ارشد مهندسی پزشکی تهران خوندم و در مسیر مهاجرت واسه دکترا، پیجم بازه و یه چیزایی از شخصیتمو نشون میده . توی رابطه صمیمیت و امنیت، اینکه بی نقاب باشی و همیشه پر از حرف با همدیگه برام جزو اولویت هاست. شخصیتم یکم متناقض به نظر میاد ولی در واقعیت اینطور نیست مثلا نه در قالب پسر درسخون میگنجم نه شر😅. مذهبی ابدا نیستم ، فلسفه کتاب شعر فیلم و این چیزام که علاقه اکثریته و منم ایضا. باورهام ، نگاهم نسبتا از عرف فاصله داره کمی و توی قالبای تعریف شده جامعه ترجیح میدم نگنجم. به شدت اهل گفتگو و حل تعارضات با آرامش و بالغانه هستم (چقدر دارم خودمو تحویل میگیرم🤔). چیزی که خوشم نمیاد اینه که رابطه خیلی سریع بخواد پیش بره و زمان و ارتباط اونو به سمت شناخت و رابطه بکشونه. و اینکه طرف سنتی و مذهبی نباشه برام مهمه و کلا نگاه سیاه و سفید به موضوعاتو نمیپسندم و زندگی برام در کلیت خاکستریه آدما هم همینطور. چهار زاویه داره شخصیتم که از هم متفاوت و حتی متناقضه: علمی کاری و علاقه به علم و فیزیک و نجوم و ...، علاقه به فلسفه و شعر و ادبیات و هنر، علاقه به یکم ماجراجویی و سفر علاقه به خوش گذرونی و شاید گاهی فقط گاهی نوشیدنی های غیر مجاز و دود و...😬😅",32,"3/22/2022, 9:09:06 AM"
fatemeh_rahnama_,@f.mohammadi.2002  تیندر ایرانی، بیا خودتو پرزنت کن. بسه دیگه تنهایی اروم بودن. =)))))),3,"3/22/2022, 9:09:01 AM"
saeedeh_aps,دخترا و پسرایی که میخواین کامنت بذارید از درونگرایی و برونگرایی تون هم بگید. اگر اهل معاشرت نیستید بگید، اگر اهل مهمونی و‌جمع های شلوغ هستید بگید، اگر از جمع های غریبه خوشتون میاد یا نمیاد بگید، بعدش که وارد رابطه میشید اینا خیلی تاثیر داره مثل ما سرویس میشید 😅🤦🏻‍♀️,44,"3/22/2022, 9:08:29 AM"
sorayahashemi149,وای خدا چقدر ایده‌ی جالبی بوده این پست دیت‌یابیت یلدا 👌👌,5,"3/22/2022, 9:08:27 AM"
noon.why68,"اول اینو بگم که در طی چندین سالی که دارم از اینستاگرام استفاده میکنم این اولین آیدی فِیک هست که ساختم، اینجا فامیل و آشنا زیاد هست و حقیقتا دوست ندارم شناخته بشم.
واقعیتش اصلی ترین دلیلی که این آیدی رو ساختم و این کامنت رو میذارم این هست که یه معیار نه چندان منطقی دارم که خودم میدونم اصلا معیار درستی برای انتخاب پارتنر و ازدواج نیست، سعی کردم ریشه هاش رو پیدا کنم، سعی کردم نادیده بگیرمش و به موقعیت هایی که برام پیش میاد تن بدم، آگاهانه بهش فکر کردم و درباره ش مشورت گرفتم اما در نهایت وجود داره و میتونه همچنان  من رو تحت تاثیر قرار بده، پس تصمیم گرفتم برم سمتش و حداقل شانسم رو امتحان کنم، به خاطر همین این پست رو به چشم یه فرصت دیدم. شاید به نظرتون خیلی بچگانه بیاد ولی مسئله اینه که من بسیار علاقمند به این هستم که پارتنرم پزشک باشه، شاید علتش این هست که خودم در رسیدن به پزشکی ناموفق بودم، نمیدونم
 متوجه عُرف جامعه در این زمینه هستم، نگاه ها، چیزایی که از بچگی تو گوش مون خوندن،از سختی ها، مشکلات، چالش های زندگی یک پزشک تا حدودی آگاه هستم، میدونم که پزشکان در نود و چند درصد موارد برای رابطه یا ازدواج هم صنف های خودشون رو انتخاب میکنن، ولی از طرفی به خودم میگم چرا حداقل شانست رو امتحان نمیکنی، حالا اگه بخوام از خودم  بگم، دخترم،سی و دو سالمه، ارشد یک رشته مهندسی رو دارم، کار خودمو دارم که غیرمرتبط به رشته تحصیلیم هست. همیشه کتاب خوندم، دست به قلم هستم.
عاشق طبیعت و سفرم، انعطاف پذیرم اما ارزش ها و چارچوب های خودمو دارم، 
اهل تلاش و ساختن هستم، سعی میکنم درک درستی از انسانها و موقعیتشون داشته باشم. خوزستانم و رابطه لانگ دیستنس نباشه بهتره، اما خب با لانگ دیستنس هم میسازم اگه بقیه ی موارد اوکی باشه، اولین فیلتری که یک نفر باید ازش عبور کنه تا بتونه بهم نزدیک بشه، شخصیت و  سلامت روانیش در حد نرمال هست.
کلا که فالورهای آقا توی صفحه ی یلدا جان کم هست، آقایون پزشک رو دیگه نمیدونم واقعا""، از دوستان خواهش میکنم پزشکان مجردی رو که فکر میکنن تمایل برقراری  رابطه دارن به این سمت هدایت کنن 😅🙊ببینیم میتونیم با هم بسازیم. مرسی",6,"3/22/2022, 9:08:17 AM"
elmira.eghlidi,چقدر کیف کردم از این پست😍❤️,0,"3/22/2022, 9:07:58 AM"
goli__1886,بنگاه شادمانی یلدا و فالورهایش😂😂,7,"3/22/2022, 9:07:49 AM"
rezvan.doulabi,@atapoursanaz منم 😂,1,"3/22/2022, 9:07:42 AM"
maral.asadzadeh,یلدا ببین آخه چقدر خوبی ❤️,1,"3/22/2022, 9:07:25 AM"
behnams.ss,سلام. از قم نبود ؟,1,"3/22/2022, 9:06:18 AM"
atapoursanaz,من كماكان نگران آشناها😂,74,"3/22/2022, 9:06:04 AM"
ebrahimi.m27,منم راننده اتوبوس میشم میفرستم برا مجردها❤❤,7,"3/22/2022, 9:05:58 AM"
aileenmmz,@delara_aghdam هشتاد نود درصد چیزایی که نوشتی عین منی 😍 ولی پسر نیستم 😄,5,"3/22/2022, 9:12:06 AM"
marjaan_alz,@yaldarta با دوستان و آشنایان مشترک پیجتون که داریمشون چیکارکنیم؟ 😆😆 روومون نمیشه توضیح بدیم,28,"3/22/2022, 9:12:00 AM"
ehsanbrm,سلام، بیست و هشت سالمه، دنبال دوستی با خانمی هستم که بتونیم دوست های خوب و صمیمی باهم باشیم. قصد رابطه ندارم، دلیلش این نیست که آدم اهل تعهدی نیستم، اگر دلیلش براتون مهمه دایرکت میگم. سلایق و علایق ام جوری هست که حدس میزنم یک خانم با من احساس راحتی داشته باشه و بهش خوش بگذره. به پیاده گردی خیلی علاقه دارم، و همپا و همراه میخوام. چون در فصل سرد و سیاه زمستون انگیزه‌ای برای بیرون رفتن نداستم ولی الان که بهاره نمیخوام فرصت رو از دست بدم. و ترجیح میدم محل زندگی مون بهم نزدیک باشه تا برای قرار گذاشتن، ساعت ها وقتمون در ترافیک هدر نره. من تجریش هستم و لطفا اینکه این مساله رو گفتم حمل بر تفاخر نکنین، چون تجریش هم یه محله معمولیه ولی باصفا، مثل گیشا و کشاورز و خیلی جاهای دیگه از تهران که دوست دارم دوتایی کشف کنیم و بگردیم. از خصوصیات اخلاقی اون چیزی که انقد ازش مطمءنم که بتونم با اطمینان بهش اشاره کنم اینه که از توجه و محبت چیزی کم نمیزارم، و انتظار دریافتش رو هم دارم‌. بقیه خصوصیات رو چون ممکنه بعضی زمان ها وجود داشته باشه و بعضی وقت ها نباشه، شبیه به مثال مشهور گورخر سفیده با خط های سیاه یا سیاهه با خط های سفید، بهشون اشاره نمیکنم. کافه گردی رو خیلی دوست دارم، ولی فعلا فقط باید بگردیم روباز پیدا کنیم به خاطر کرونا‌. فک کنم کسایی که دنبال عشق رابطه عاطفی و جدی و تعهد و ازدواج دارن، انقد توضیح ندن که من دادم. ولی دوستی هم قشنگه. اون لحظه‌ای که خوشبختی دوست خودت رو با یارش میبینی و ذوق میکنی، یعنی دوست داشتن بالاتر از عشقه,31,"3/22/2022, 9:11:41 AM"
tiiiiitop,بین ایییین همه آدم و کامنت من از همصحبتی با یک نفر خوشم اومد که اتفاقی آشنای دوست صمیمیم از آب در اومد و فهمیدم سنشو ده سال بزرگتر بهم گفته و اصلا آلمان زندگی نمیکنه و ایرانه و میخواد از موقعیت من استفاده کنه🤦🏽‍♀️😄 اینم بخشی از زندگیه😉😄,10,"3/22/2022, 9:11:23 AM"
m0l00dm,@afsaneh_talebi73 خیلی باحال بود پیشنهادت 😂👏,1,"3/22/2022, 9:11:07 AM"
saeedeh_aps,@saeedeh_aps از رابطه تون با خانواده هم بگید. اگر وابسته هستید اگر اهل جمع های خانوادگی نیستید,3,"3/22/2022, 9:10:44 AM"
j.s.a.r.a.h,حقیقتا این بار اومدم کامنت بخونم! موفق باشید دوستان😉 و مرسی یلدا که پیگیری! دمت گرم💛 این چندمی میشه؟!,2,"3/22/2022, 9:14:09 AM"
mahdunehh,اینجا کسی برای دکترا در حال اپلای هست؟🌺,10,"3/22/2022, 9:14:02 AM"
mn_mohamad,این انقد آپشن داره منم دلم میخواد باهاش برم دیت 😂,7,"3/22/2022, 9:13:55 AM"
just_fun_1min,سلام؛ یه پسر ۲۴ ساله، ارشد معماری خوندم و تفریحاتم دوچرخه سواری و پیاده روی و شنا هست.کتاب و پادکست و فیلم خستگیامو رفع میکنه،تدریس میکنم و تو بازارهای مالی فعالم (تریدر),10,"3/22/2022, 9:13:27 AM"
zohre_a1371,ینی من هر بار که این پست رو گذاشتی تخمه میارم  میشینم کامنت میخونم😂😂,3,"3/22/2022, 9:13:15 AM"
bitasaeidi,@sa_ra_65 🙄,1,"3/22/2022, 9:13:09 AM"
maryam._.moezz,منم كه دارم كامنت هارو ميخونم ميگم فعاليت آقايون چرا كمه 🧐😉😊,23,"3/22/2022, 9:13:02 AM"
mozhdenzr,@delara_aghdam چه اسم قشنگی داری 🥰,1,"3/22/2022, 9:12:59 AM"
sara.almnr,😍😍😍❤️❤️❤️,1,"3/22/2022, 9:12:39 AM"
zahra.mmonfared,به به 😍 ما که از خیر دیت میت گذشتیم ، ولی اهل دلا و اهل شعر و موسیقی و فیلم و کتاب و این ها بیان با هم دوست شیم ببینیم دنیا دست کیه 😍,22,"3/22/2022, 9:12:36 AM"
mg.masoud66,"اهل تهرانم روزگارم بد نیست 😁 میگذرد غمی نیست 
سال نو مبارک باشه ❤. کارمندم. دهه شصتی سال ۶۶ مهر ماهی 😁 و ‌. . ‌. 
تهران و یا کرج نبود ؟‌🤣",10,"3/22/2022, 9:12:36 AM"
sa.har.sa_2021,یلدا جان هم خودت هم صدات و هم فعالیت هات، همشون آرامش خاصی دارن......ممنونم ازت🙏,4,"3/22/2022, 9:12:15 AM"
zibaa.bayat,@hotel_yankee07 قصد مهاجرت؟,2,"3/22/2022, 9:15:54 AM"
mobinmhb,@zahra.mmonfared طاقت بیار رفیق😂 حتی منم هنوز ناامید نشدم😂,2,"3/22/2022, 9:15:39 AM"
shokoufefijani,چقدر قشنگ بود حرکتت❤️ من تازه از یک رابطه ی ناموفق بیرون اومدم و اصلا پی ارتباط دوباره نیستم ولی چقدر قشنگ بود کارت ، با تمام گاردم یک لحظه تسلیم شدم در برابر اون چه که داری انجام میدی 😍خیلی قشنگ بود یلدا .مرسی,22,"3/22/2022, 9:15:25 AM"
bahar__76_,من بهاره هستم ،۲۴ سالمه،کرجم کودک درونم فعاله و هرروز بیشتر تلاش میکنم برای موفق شدن تو کارم،طراح ui/ux هستم و برونگرام،لیسانس مهندسی نرم افزار دارم،صادق،مهربونم...آرامش،توجه تو رابطه برام مهمه 😊🌹🌹,8,"3/22/2022, 9:15:09 AM"
sarajalali.m98,اصن شرایط وارد رابطه شدن ندارم چون به‌خاطر برنامه‌ها و اهدافی که دارم یه رابطه کوتاه‌مدت می‌شه. ولی این پست‌های دیت‌یابی شما بدجور آدمو وسوسه می‌کنه😂,24,"3/22/2022, 9:15:04 AM"
simin__javaheri,الان مثلا من دارم کامنتارو میخونم ببینم آقا پسری شرایط باهام اوکی بود برم‌ دایرکتش واه واه واه🤭😂😂😂,61,"3/22/2022, 9:15:01 AM"
phe_2021_gene,سلام. ممنون از پست های خوبتون. سارا هستم. ۳۳ ساله دکتری ژنتیک جانوری. متولد تبریز و تو تهران کار میکنم. از مجرد بودن خودم لذت میبرم ولی اگر موردی باشه با معیارهام مثل اخلاق خوب، شعور و درک متقابل از زندگی، داشتن کار مناسب، دهن بین نبودن، مسولیت پذیر و مهربون... برخوردار باشه مایل به اشنایی هستم.,18,"3/22/2022, 9:14:56 AM"
atefehmot,@delara_aghdam ایشون حقشه پین بشه 👌❤,2,"3/22/2022, 9:14:52 AM"
maral_jfr_pv,سلام 😍 سال نو مبارک ❤️ مارال هستم ۲۷ ساله ، اهل اصفهان ، دختری مستقل ، دختری که تلاش میکنه هر روز آگاهی و بینش بیشتری پیدا کنه ، دلم میخواد امسال کنار کارم و مسیر زندگیم یک همراه داشته باشم ، ایشون هم مثل من دنبال آگاهی باشه ، عاشق موسیقی هستم ، عاشق سفر ، دلم میخواد این ارتباط من و طرف مقابلم رو کامل کنه و لذت ببریم از مسیری که پیش رو داریم ، ظاهر ،شغل و ارتباطات اجتماعی طرف مقابل واسم مهمه 🙂 مررررررسی ❤️,5,"3/22/2022, 9:14:43 AM"
gillani_neda_1987,سلام ندا هستم ۳۳ ساله، کسی الآن توی زندگیمه که سه سالِ لحظه های خوبی و کنارش دارم و اصلاً نمیدونم آینده یا حتی فردا قرارِ چی بشه، اما از اینکه امروز کنارِ هم حالمون خوبه، هر روز و هر لحظه خدا رو شکر میکنم. برای همتون همچین حس و حالی و تو سال جدید آرزو میکنم. اتفاقاً تو پست آخر پیجم هم همین آرزو رو برای همه کردم. که کسی #پیامبر_شخصی_شما_باشه و شما هم برای اون همونی باشید که احتیاجش داره🤲🏻💚,28,"3/22/2022, 9:14:41 AM"
heidari_somayeh63,سمیه متولد فروردین ۶۳ ساکن تهران عاشق طبیعت و ارتفاع و کوه ،ادم مستقل و شاغل در زمینه مالی فعالیت دارم دنبال یه ارتباط قوی و مناسب هستم برام مهمه که از نظر اجتماعی و دید رابطه همخوانی داشته باشیم,57,"3/22/2022, 9:14:35 AM"
malihe_mousivand,سلام🙋🏻 من ملیحه‌ام متولد ۷۳ و ساکن همدان و با دوست دارم با فردی وارد گفت و گو و آشنایی بشم که ساکن همینجا باشه چون دورادور نمیشه😁 معلم هستم، کتاب میخونم، پادکست گوش میدم، ورزش میکنم، مسافرت رو دوست دارم زیاد، خیلی پر حرف نیستم،از تنهایی لذت میبرم، بودن با آدم های خوب هم برام جالبه، سعی میکنم همیشه در حال پیشرفت باشم و به بهترین خودم تبدیل بشم، ترجیحم اینه که شما ام دنبال یک رابطه سالم و بلندمدت و آینده دار باشید و با هم آشنا بشیم☺️اگر اینجوری بود بهم پیام بدید🙋🏻☺️,67,"3/22/2022, 9:14:14 AM"
elnazzjl,ایتالیا یه نفر😁,13,"3/22/2022, 9:18:09 AM"
arshida13866,سلام مهتابم اهل خوزستان.ساکن تهران ۳۸ سالمه شاغلم در حال حاضر مدرک دانشگاهی ندارم.,10,"3/22/2022, 9:18:05 AM"
bitasaeidi,"یکی از با فرهنگ ترین پست های اینستاگرام بود که تا الان دیدم یلدای عزیز♥️واقعا مرسی از بودنت تووی این دنیا که میخوای قشنگ ترش کنی …

من سختمه نوشتن 
اما حظ کردم از ایده ات…♥️",32,"3/22/2022, 9:17:58 AM"
persian.bibliphogaphy,سلام سال نو مبارک خدایا به امید تو یه همراه اساسی پیدا بشه برامون برای ادامه زندگی من آدمی که سعی میکنم تو همه چیز میانگر باشم چه اعتقاداتی چه کاری  راستی پسر ۲۵ ام میتونم بگم شاغلم و دنبال اینکم که کاری یا تحصیلی بتونم مهاجرت کنم که حتما این کار رو انجام میدم الان شیراز زندگی میکنم خوشحال میشم شخصی خودشون نزدیک میدید به من بهم پیام بده,1,"3/22/2022, 9:17:53 AM"
hotel_yankee07,@zibaa.bayat خیر😊,1,"3/22/2022, 9:17:42 AM"
hoda.nvr,چقد کامنت ها جالب و قشنگه و چقدر بعضیا قشنگ خودشونو توصیف میکنن واقعا بانمکه,8,"3/22/2022, 9:16:39 AM"
parisa____matin,من فعلا منتظرم درسم تموم شه یکم زندگی به ثبات برسه بعد اقدام کنم 🥲🥲,12,"3/22/2022, 9:16:37 AM"
mahtab.mohtashami,@_.herdaughter._ 👏👏,1,"3/22/2022, 9:19:52 AM"
nassimmii,@afsaneh_talebi73 چه مهربون,1,"3/22/2022, 9:19:29 AM"
minababaei_r,@delara_aghdam حیف پسر نیستم ولی اگر دوست معمولی خواستی من هستم😂😅😁,2,"3/22/2022, 9:19:26 AM"
raziye_heydari,@atefehfarhangmehr,2,"3/22/2022, 9:19:25 AM"
sarafakhari1,@ha_ni_kh 😂😂😂,1,"3/22/2022, 9:19:07 AM"
zizi.pirouzbakht,🙌👏😍,0,"3/22/2022, 9:19:01 AM"
azam_isf,اعظم هستم ۳۰سالمه و ساکن اصفهان، اگه هنرمندین و عاشق سفری خوشحال میشم باهاتون آشنا بشم 😊,14,"3/22/2022, 9:18:55 AM"
shima.amirrezaei,یلدا. ..یلدای قشنگ...این پست دیت یابی هم تجربه بد داشت برام هم خوب ولی با حرفت موافقم...به خاطر یک آدم بد نباید پرونده همه آدم ها رو بست💜🎈,10,"3/22/2022, 9:18:47 AM"
maryam5923,"سلام بچه ها ، مریم هستم دنبال رابطه و یار نیستم ،.. استانبول زندگی میکنم .
دنبال یه دوست خوبم… چه دختر چه پسر فرقی نمیکنه . 
وقتی آدم از کشور و خانواده اش دور میشه دلش یه دوست خوب میخواد که احساس غربت نکنه 🌱🌹 منم دنبال دوستم",40,"3/22/2022, 9:18:31 AM"
id0gram,کامنت ها 🤓💃🏼🍿,1,"3/22/2022, 9:18:23 AM"
negarhii,چه باحال😁,0,"3/22/2022, 9:18:13 AM"
mah_diva70,یلدا جان نظرت چیه اپ بزنی؟,1,"3/22/2022, 9:18:11 AM"
arghavan_bakhshi,سلام ارغوانم ۲۸ سالمه و رشت زندگی میکنم شخصیت آرومی دارم INTP. لیانس معماری دارم و کار هنری و فنی انجام میدم👩‍🏭. آشپزی👩‍🍳و سفر و طبیعت گردی رو دوست دارم🌱 . یکمی استایل پسرونه دارم  دنبال یه رفیق خوب میگردم که بقیه زندگی رو با هم بسازیم. کسی که هر دو در کنار هم رشد کنیم پیشرفت کنیم. برای مهاجرت همسفر خوب لازمه ولی تنهایی به مهاجرت فکر نمیکنم.  از یلدا برای این پست خوب تشکر میکنم. چند وقت بود منتظر بودم این پست رو بذاره 😅😂😍❤,11,"3/22/2022, 9:21:32 AM"
_neginbadihi_,@farnaz_puresmaili میخوای برات بنویسم؟,2,"3/22/2022, 9:21:30 AM"
