Username;Comment
lotfinikoo;"گلشيد جون يعني خودتم مياي🥺🤩
#مهسا_امینی‬⁩ ‏⁦‪#MahsaAmini‬⁩ ‏⁦‪#OpIran"
milad_khajezade;درود به شرفت 👏
milad_khajezade;👏👏
farnaz_ahadmotlaghi;از فرانکفورت 🥹
marziemir;@fae_90
milad_khajezade;@call_me_kimii بچه های ایتالیا همینجا هستن پیداشون کن باهاشون برو
rey_hanna_;@mehrabaninew نه اين غلطه… به خود پناهجو ها بايط مجاني دادن كه فرار كنن. فكر كنيد هر روز توي برلين يه تظاهراتي هست و قطار المان بخواد به همه اين سرويس رو بده .. ميتونين سوال كنين ولي لطفا نگين كه براي تطاهرات اوكراين بليط مجاني بوده چون اين صحت نداره
royartin_;بچه ها کسی هست از اسن یا گلزنکیرشن بره و بتونه اتوبوس هماهنگ کنه؟
milad_khajezade;@nikmotta99 همینجا میتونی کسیو پیدا کنی بری ، باید وقت بذاری
baha2r.m;ما میخوایم از استکهلم بیایم ولی بلیطها خیلی گرونه😢
maral_kashkouli;از دوسلدورف گروهی  هست ؟
milad_khajezade;@mehrabaninew فکر خوبیه 👏
bahar9936972;@taraneh_sn منم همینطور
shadimshadi;@zeesoori Ba shahrzad barname gozashtid?
shirinnnn35;@aidaam_2020 دمت گرم
milad_khajezade;@shafiansanaz منم حاضرم 👏
pari.ojaghi;ما از،köln  میریم
fahime.sabaghii;#mahsa_amini
milad_khajezade;@somayeh_ghenaatian درود به شرفتون 👏
fahime.sabaghii;#mahsa_amini
marziemir;@mahtab_nmvr
michael_deutscho;از نورنبرگ کسی هست؟
milad_khajezade;@ma_asemaneabi چندتا دوست دیگم از رم پیام گذاشتن اینجا همدیگرو پیدا کنید👏
___somz___;@sheisshabnam
milad_khajezade;@_solmaz.hsh_ درود به شرفت👏
marziemir;@mitra_bfz if u have any friends in Europe please tag them here🙂
amandaa_asghari;من بلژیک هستم و ماشین ندارم
rey_hanna_;@somayeh_ghenaatian از كجاي جنوب ؟
mehri_maria;ما از اولدنبورگ هستیم دونفر با یه بچه شش ساله اکر کسی هست به ما اطلاع بده ممنون میشم
marziemir;@mahsaesp @mahsa_mahdinejad
milad_khajezade;@massy251 درود به شرفتون👏
___somz___;@_rose_sa
daryaa_1241;Frankfurt
the_puneh;کاش میتونستم دستت رو محکم بگیرم و بگم: نترس، کسی کاریت نداره، زندگیت رو بکن کسی قرار نیست آزارت بده، بغلت میکردم و بهت قول میدادم هیچ خشونتی در انتظارت نیست. کاش زورم میرسید و نمیذاشتم اینجوری مرگ و زندگیت دست یه عده وحشی متحجر باشه.
milad_khajezade;@helia_salimii درود به شرفت👏
pegahzamani_;#مهسا_امینی
pegahzamani_;#mahsaamini
faraneh.abbassian;@matin_rouhi.pv به نظرم بیاین یک شهر تو NRWاز اونجا خیلی ها میرند
ali_farzin2021;دوستان زیر پست بامداد اسماعیلی همدیگر پیدا کنیم برای رفتن به برلین
leilasbo;"آفرین به این پیشنهاد عالی. ایرانیان برای اتحاد ،کارهای بی سابقه ای را دارن انجام می دن. هرروز داریم به پیروزی نزدیکتر میشیم.👏👏👏👏👏
#مهسا_امینی 
#mahsaamini"
mehri_maria;بجه ها از اولدنبورگ کسی خواست بره به ماهم اطلاع بده ما دونفر و تصمیم  به انید آزادی #مهسا_امینی
milad_khajezade;@call_me_kimii با بچه ها باهم هماهنگ بشید از رم زیاد هستن
ma_haghh1343;ممنونیم گلشید عزیز برای همه تلاشها❤️✌🏻✌🏻✌🏻
milad_khajezade;@nikmotta99 کمک مالی انجام میدن بچه ها 👏
raz.mousa;برشا_میلان ایتالیا
aidaam_2020;@shirinnnn35 شیرین اخ که دلم میخواست الان ایران بودم 🥺
mehrabaninew;@rey_hanna_ هزینه بلیط مجانی برای یک روز رو تقبل میکنن اگه تقاضا زیاد باشه
nikmotta99;@milad_khajezade بله چک میکنم همش هنوز که کسی از سوئیس پیدا نکردم
rayhanehhaghgoo;گلشید جان سلام
n_a_z_i79;@melika_anil منم کانادام ولی حاضرم کمک مالی کنم برای بچه های اروپا که بتونن برن حیفه این فرصت طلایی از بین بره کاش @glvaay  پول جمع کنی هر طور خودت صلاح میدونی بلیط بگیرن برن
fahime.sabaghii;@massy251 👏👏
itsasalhajbabaei;@iamniloo96 من
mrs_zara_uk;ما هم از لندن داریم میریم #mahsaamini
maryamjzi;@mina_af1
milad_khajezade;@nikmotta99 توی امروز یا فردا حتما اوکی میشه یه نفر
mitrahaghnejad;از ایالت نورد وست فالن
mahroohoseinian;من کلن هستم و ماشین ندارم
1990farzaneh69;@rey_hanna_ چرا دقیقا صحت داره و احتمال زیاد اینکارو خواهند کرد
jalal6039_s_s_f;من فرانکفوت هستم کسی هست با هم بریم
me.ranjbaran;من از فرانکفورت میام و تنها ۶ستم، اگه کسی هست باهم همراه بشیم خوشحال میشم
aian.622;دمتون گرم خارج نشینان #mahsa_amini
mahsa_vakili068;@setareh.asgari
jalal6039_s_s_f;من ماشین دارم فقط  اگه کسی هست هماهنگ کنیم بریم
mahdiehmoghadam_;گروهی از köln هست؟
somi.sheikhi;💗💗
mojgan.adventures;بهترین کار رو کردی عزیزم👏🏻👏🏻👏🏻 #mahsaamini
mahsa_vakili068;@aban__dokhtt
somayeh_ghenaatian;@iamniloo96 ما
elaheh_shahrabadi;دمت گرم گلشید جون❤️✌️
mommy.dorrin;@milad_khajezade ممنون فرستادم
somayeh_ghenaatian;@rey_hanna_ اشتوتگارت
yek_gane1996;@faraneh.abbassian خب ارونجا چطور بریم؟ راه خاصی هست؟ گروهی هستن که ببرن؟
persialainen_viimeinen;از هلسینکی
suren_kasravi;ما دو نفر هستیم (زن و مرد)، از وین می اییم، لطفا با هم اگه کسی خواست ارتباط بگیره
maryakh10982;ماهم از هامبورگ ۵نفریم ،همه از کارمون مرخصی گرفتیم
raz.mousa;بچه ها از ایتالیا کسی هست میلان یا برشا باهم بریم برلین . هزینه اش برای من مهم نیست اما چون تازه اومدم ایتالیا تنهایی سفر کردن برام سخته 🥺🌹
persialainen_viimeinen;@shafiansanaz 😢😢دمتون گرم، واقعا این اتحاد بی نظیره🙌🙌🙌❤️❤️❤️
maryakh10982;به نظر من کمک مالی گرفتن زشته،حداقل کاری که برای کشورمون میتونیم انجام بدیم
maryakh10982;به نظر من کمک مالی گرفتن زشته،حداقل کاری که برای کشورمون میتونیم انجام بدیم
parsa.rezaei.2014;ازلهستان
mitddgr;کسی از فرانسه هست؟
shadysharify;منم هستم از هامبورگ🙌
_shaghayegh_13_70;کسی از مادرید هست بخواد بره؟
faraneh.abbassian;@yek_gane1996 تعداد ایرانی هایی که از،اونجا میرند خیلییی زیاده.
misha_sallami;@amandaa_asghari قطار از بروکسل میره تا برلین
faraneh.abbassian;@yek_gane1996 بعدشم می تونید با بلیط quer durch چند نفری از اونجا بیاین .
pooneh_nami;Dameton garm🤍
pooneh_nami;#مهسا_امینی
misha_sallami;از بلژیک با هر وسیله ای که شده میرسونیم خودمون رو اول دوسلدرف بعد از اونجا با قطار نفری ۱۴۰یورو رفت و برگشت به برلین.
reyhan.no;دمتون گرم 😍
foroozan.taheri;منم هامبورگم
maryam.beik6111;دمتون گرم که مارو تنها نمیزارید به امید ازادی وطنمون🕊
sadaf_hajii;ازکارلسروولی بلیط گرون شده😢😢😢
hassan1nassah;از مونیخ...کسی هست باهم بریم؟
matin_rouhi.pv;@faraneh.abbassian quer durch? شهره؟
soudabeh.mortazavian;من ایتالیا ام و وظیفه خودم میدونم که حمایت کنم از مردمم. وسیله ندارم ، اگه کسی بود از ایتالیا ممنون میشم اطلاع بده
soudabeh.mortazavian;@call_me_kimii منم تورین ، وسیله ندارم
ykeshavarz;ما از استکهلم با اتوبوس میایم. اگر کسی می خواد با ما بیاد دو سه روزه خبر بده. ما شب رو میریم و شب رو بر می گردیم و جای خواب لازم نداریم
raziehfazeli;از مونيخ نبود؟
sadaf_hajii;👏👏👏👏
sadaf_hajii;@mahsa.aminin
sadaf_hajii;@mahsa.aminin
maaarzieh;هایدلبرگ میرم
ayshaylei;@baha2r.m گروه بشین و اتوبوس بگیرین،، ما از گوتنبرگ همین کارو می کنیم
teymoortash2022;منم دوست دارم بیام  از اصفهان میخوام بیام  ولی معلول هستم
hanieh_ramezanian96;دمت گرم گلشید❤️🥺✌️
maryammasumi68;کسی از مادرید میره برلین!؟؟
mermaidcomposer;@somayeh_ghenaatian با قطار ؟
monfared_reyhane;درود به شرفتون👏👏👏
raziehfazeli;@maryakh10982 نه زشت نيست عزيزم. اتفاقا اين همياري خيلي هم قشنگه. خيلي ها دانشجو هستن و نمي تونن از پس هزينه بليط بر بيان ولي دلشون ميخواد شركت كنن. خيلي ها هم آمريكا و كانادا يا جاهاي ديگه هستن كه به دليل دوري راه نمي تونن بيان، مي تونن يه نفرو به جاي خودشون بفرستن.
shaghayeghv;@yek_gane1996 @faraneh.abbassian @matin_rouhi.pv بعضی بچه‌ها دارن فکر‌میکنن شاید اتوبوس بگیریم یا دارن سعی میکنن ایمیل بزنن که اگه بشه بلیت قطار تخفیف بگیرن. ولی همین که خانوم فرانه هم میگه میشه یه‌ جا جمع بشیم
afsi.sh.m;👏👏👏
mahdoooosh;DB یک بلیط سه ماهه هجده یورویی برای تمام آلمان داره اونو بخرید ارزونتر میافته بچه ها
mahdoooosh;منم از هامبورگ میرم ولی ماشین ندارم
_.marjan._mp;از امستردام هلند
_hediye13;دم همتون گرم، ما دوستون داریم💚🤍❤
aziindokht;@mrs_zara_uk ما هم از لندن ميريم
mahdoooosh;@katja.gholami شما تا فلنزبورگ بیایید بعد یک بلیط هجده یورویی رفت و برگشت بگیرید ارزون میافته
zeesoori;"@shadimshadi چه دنیای کوچیکی 😍
شهرزاد قرار شد خبر بده ولی حسابش کردم 😊 میایین شما هم؟"
s_e_p_93_e_h_r;از زیگن یا کلن یا دورتموند کسی نمیره؟
shiva_shafahi;من می‌تونم بیام فرانکفورت با هم برویم
maryakh10982;@adineh_08 حداقل کاری که میتونیم انجام میریم،شرمنده
saideh_jiii;@misha_sallami چند نفرين؟
mrs_zara_uk;"@maryakh10982 اتفاقا زشت نیست دوست عزیز چرا که قیمت بلیط‌ها از همین اروپا هم بسیار بالاست و برای افراد دانشجو خیلی گرونه 
این کار خیلی هم قشنگه 
حمایت کنیم از این حرکت‌ها 💚🤍❤️"
mehhrnush;من‌ از کلنم کسی بود به من‌بگه
mrs_zara_uk;@shafiansanaz چقدر کارتون قشنگه 👏
s_e_p_93_e_h_r;از زیگن کلن دورتموند کسی میره من باهاش برم؟
alireza.massi;از ایتالیا خیلی گرونه 😢
mrs_zara_uk;کارتون خیلی قشنگه 👏
sanna15_medical;من با ماشین از پراگ میرم و سه نفر دیگه رو  هم می برم☝️
monireh_otdi;از چه ساعتی شروع میشه؟
misha_sallami;@saideh_jiii ۱۲ نفر
mahshid.ahani;منم هستم خونم نزدیک هامبورگه میتونم بیام هامبورگ ولی یه بچه هم دارم نمیدونم چطور هماهنگ بشم برای رفتن امکانشو دارید ؟ (دو نفر میشیم منو دختر چهار سالم  با صندلی ماشین )
meinnoush;@mahdiehmoghadam_ منم هستم کسی بود به منم بگو لطفا
faeze_dn00;@soharsh @moonasayadi @hamidgazestani @emadaghasi @sina.musik @itsaboutbetty @ronakasgari.de
maryakh10982;@raziehfazeli این هم حرفیه عزیزم
shadimshadi;@zeesoori Are Manam say mikonam biam ❤️
m.zsana;چقددد دوست داشتم بیام آرزومه، بچه ها من جنوب سوییسم 😢
hattamkarimi;منم میخوام بیام از دویسبورگ هستم ولی مقداری معلولیت دارم فقط جلوی ماشین میتونم بشینم اگر کسی هست ماشین داشته باشه ممنون میشم بهم خبر بده
mazloomsaeed;ما از توبینگن تقریبا ۳۰ نفریم میخوایم اتوبوس بگیریم شهرهای اطراف اگه کسی هست و دوست داره بیاد خبر بده 🙏
mohammad.kamali.p;@mitddgr من هم شهر نانسی فرانسه هستم اگه کسی پیدا شد و جا داشت لطفا منو هم خبر کن لطفا
zeesoori;"@mahshid.ahani اجازه بده همه پیام ها رو جمع کنیم ببینیم کی قطعی میاد کی نمیاد بعد تو پی وی هماهنگ میشیم
ماشین ما مینیه نمیدونم صندلی بچه عقبش جا میشه یا نه، میپرسم"
shr_sheykh;ما ونیز هستیم و دانشجو اگر کسی از این سمت میره خوشحال میشیم به ما بگه باهاشون بریم ( ۲نفر هستیم )
mohammad.kamali.p;من از نانسی فرانسه هستم اگه کسی جا داره لطفا منو در جریان بزاره سپاسکزارم
zeesoori;@shadimshadi عااااااالی اگه ماشین میاری از بچه های اینجا جدا کن ، سوا کن 😘😉
shafiansanaz;@mandana_tym از کجا میخواین برین؟
shahryar.ffzz;دویسبورگ
shafiansanaz;میشه منو بهشون لینک کنین؟ منم میخوام تو هزینه ها کمک کنم
h_parvaneh;از کلن کسی میره؟؟؟
belgiearvin;من بلژیک هستم اگه کسی ماشین داره ممنون میشم منم با خودش ببره
_mmouzhan;Az Mainz ?
_saami_________;@mahdoooosh این کدوم بلیطه
abad_iran.iran;@shiva_shafahi ماشین دارید؟
sahra_soltaninejad;ما از مونیخ با قطار احتمالا
mitddgr;@mohammad.kamali.p من از جنوب فرانسه هستم😒😔
zeesoori;@shadysharify با وسیله یا بی وسیله؟
susuzahraie;@mrs_zara_uk 👏👏👏👏
susuzahraie;@aziindokht 👏👏👏👊🕊✌️
mostafa_ahmadi93;فرایبورگ.  وسیله ندارم! اگر کسی هست بگه لطفا
mahdiehmoghadam_;@meinnoush باشه حتما
abad_iran.iran;ماشین دارید؟
mohammad.kamali.p;@shafiansanaz من خیلی دوست دارم شرکت کنم ولی از عهده هزینش بر نمیام کسی رو هم ندارم که منو با خودش ببره .🙏
ati_shafee;بچه های من کوچیکن من حتی توی شهر خودم نتونستم برم ، ولی  می تونم کمک کنم هزینه رو یه نفر هم شده جای من اونجا باشه
susuzahraie;ما از هلند صد در صد میریم هرجوری شده 👊👊🕊🕊✌️✌️
mahdoooosh;@ از دفتر DB بپرسید میگه بهتون
maylo.maya;👏
maral002;👏👏👏👏
maylo.maya;من از آخن هستم
niloofar.aslanpoor;از کلن
phibrows_senorita_;❤️❤️
sallivan88;من هم میتونم از فرانکفورت همسفرتون بشم، کسی وسیله داره؟
f_nik_87;@marjan.vie کامنتهای بالاتر یه نفر گفته بود میره و جا هم دارن
sir.kamran;بچه ها wizzair  چک کنید بلیطای ارزون داره داخل اروپا به شهرهای اطراف برلین میتونید برید اونجا از اونجا با ایرانیای آلمان همراه بشیند
hengamt;@adineh_08 کار اصلی رو شما میکنین 👏
sallivan88;@jalal6039_s_s_f من احتمالا بتونم
mohammad.kamali.p;@mitddgr چند تا از دوستان در همین پست اعلام امادگی کردن که در هزینه اش کمک میکنن ، من پیام دادم بهشون اگر جواب بدن شما رو هم در جریان میزارم
saberrostami;کسی از دانمارک میره ؟؟؟
ghasemisohreh;از هامبورگ  میخواهیم اگه بشه ماشین بگیریم
negarsnia;از بروکسل
mitra_ariamanesh;✌️✌️💪💪
saeed.piltann;👏👏👏
miladalamtoking;بچه ها کسی از ویتموند و اِمدن و آوریش و  نوردن و ویلهمسهافن نیست که بره سمت برلین من باهاتون بیام!؟
milad_ghashghavi;اگه کسی وسیله داره از اسن یا دویسبورگ بگه باهم بریم
somayeh_ghenaatian;@itsasalhajbabaei خصوصی‌بهم‌پیام بدید
saberrostami;@______kia___
a_shiva_i02;تروخدا ب داد ما مردم ایران برسین بچهامونو کشتن😭😭😭😭😭😭😭
inspiration_spring;از بوخوم، دورتمند یا شهرهای اطراف اگه کسی میره با ماشین؟!
nilivanili91;Limburg/ Wiesbaden
negarsnia;کسی از بروکسل هست با ماشین بره؟
elmirabarzkar;دوستان عزیز بلا بلا کار معمولا خیلی از بلیط ارزونتره و چون مقصد برلینه تقریبا همیشه ماشینهایی هستن که میرن. Blabla car رو در پلی استور سرچ کنید، یه اکانت بسازید و مبدا و مقصد رو وارد کنید. نمیتونید نقد پرداخت کنید برای همین یا از کارت بانکی و یا از پی پال استفاده کنید. مبالغش باور نکردنیه.
elmirabarzkar;@jalal6039_s_s_f شما فرانکفورتی؟
foodmoodbykimia;@maryakh10982 گاهی اوقات حداقل کاری که برای کشورمون میشه کرد اینه که کسی رو قضاوت نکنیم🤦🏻‍♀️ و گاهی هم سکوت
i_am_samiraa;مجارستان؟
ensiraoufi;@mitddgr ما از مون پلیه میخواهیم بریم. ولی وسیله نقلیه نداریم و هنوز نمیدونم چجوری. ولی خودم و همسرم رانندگی بلدیم و میتونیم کمک کنیم در رانندگی
german.atoosa;"🥹🥹🫶🫶
#mahsaamini ✌️🤍🕊"
sir.kamran;#mahsaamini
sir.kamran;#mahsaamini
somayevakili97;@mahdiehmoghadam_ دوست عزیز خانم اختر قاسمی گفتن که میخوان اتوبوس بگیرن
sir.kamran;@massy251 #mahsaamini
tuska.mam;از دانمارک، کپنهاگ کسی هست. لطفا بگید ما رو هم با خودتون ببرید ۲ تا دانشجو🥺
anahitamodarresi;@heymelika 🕊️
sir.kamran;@taraneh_sn #mahsaamini
sir.kamran;@maryakh10982 #mahsaamini
sir.kamran;@misha_sallami #mahsaamini
sir.kamran;@english.with.kimmy #mahsaamini
fatimaaaa.zeinaly;من دوستدارم بیام ولی وسیله ندارم از مونستر
sir.kamran;@avale.mehr #mahsaamini
mahdiehmoghadam_;@somayevakili97 ممنون
sir.kamran;@german.english.media #mahsaamini
sir.kamran;@shafiansanaz #mahsaamini
weissbrich;من لینداو هستم کسی از اینجا هست با هم بریم؟ (Lindau)
sir.kamran;@milad_khajezade #mahsaamini
raziehfazeli;@raz.mousa بالاتر يه دانشجو از روم نوشته بود.
sir.kamran;@yek_gane1996 #mahsaamini
sir.kamran;@katja.gholami #mahsaamini
arezoo.azimiii;@jalal6039_s_s_f من و همسرم خوشحال میشیم اگر بتوانیم با شما بیاییم.
sir.kamran;@somayeh_ghenaatian #mahsaamini
sir.kamran;@_solmaz.hsh_ #mahsaamini
faribaamasoud;ما هم چند نفر هستیم از فرانکفورت میریم ✌️✌️🙌
its_asaaal;@call_me_kimii منم از رم اما وسیله ندارم😢
sir.kamran;@mitddgr #mahsaamini
r.0.nak_kh;کنستانز آلمان
sir.kamran;@maryakh10982#mahsaamini
ensiraoufi;از مون پلیه فرانسه اگر کسی میره ما 4 نفر هستیم. بگه که هماهنگ کنیم با هم بریم. ما وسیله نقلیه نداریم
shiraz.masi.mir;من خیلی دوست دارم بیام  از تورینگ کسی هست ..منو با خودش ببره
mahdiehmoghadam_;@shahrbanootaromi چشم عزیزم
sir.kamran;@mommy.dorrin #mahsaamini
sir.kamran;@jalal6039_s_s_f #mahsaamini
sir.kamran;@maryam.beik6111 #mahsaamini
sir.kamran;@royartin_ #mahsaamini
bahareakrami;@mahroohoseinian ما دو روز زودتر حرکت می‌کنیم اگر شرایط دارید و جایی برای اقامت میتونیم هماهنگ کنیم
raziehfazeli;@narges_ranjbarsari @raz.mousa
sir.kamran;@jalal6039_s_s_f #mahsaamini
sir.kamran;@baha2r.m #mahsaamini
maedeh_karimpour;چقدر قشنگید شماهاااا
sir.kamran;@mehrabaninew #mahsaamini
sir.kamran;@elahe.a_mehr #mahsaamini
sir.kamran;@merikcake #mahsaamini
sir.kamran;@narges_ranjbarsari #mahsaamini
sir.kamran;@ma_asemaneabi #mahsaamini
sir.kamran;@nikmotta99 #mahsaamini
sir.kamran;@mariya.6688 #mahsaamini
sir.kamran;@sahar.banaeiii #mahsaamini
sir.kamran;@helia_salimii #mahsaamini
sir.kamran;@ma_haghh1343 #mahsaamini
sir.kamran;@raz.mousa #mahsaamini
sir.kamran;@iamniloo96 #mahsaamini
sir.kamran;@mahdiehmoghadam_ #mahsaamini
der_weg_der_erlosung;متاسفانه من تنهام، ،،،، باید تنهائی برم، اما خیالی نیست به عشق هم قفسهام میام، ،،، پاینده ایران، نابود باد جمهوری اسلامی، ،،، برای آزادی ✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌
_ahmadi_aida;گلشید همیشه تو هر شرایط ی گوشه کارو گرفتی و  #mahsaamini صدای ما بودی مرسی ک هستی #مهسا_امینی 😘
sir.kamran;@mehri_maria #مهسا_امینی
sir.kamran;@negin_baghdadchi #مهسا_امینی
sir.kamran;@maral_kashkouli #مهسا_امینی
sir.kamran;@mitrahaghnejad #مهسا_امینی
sir.kamran;@suren_kasravi #مهسا_امینی
parpar20;ما از لندن ميريم
sir.kamran;@marjan.vie #مهسا_امینی
sir.kamran;@_shaghayegh_13_70 #مهسا_امینی
ma_asemaneabi;@sir.kamran سلام شما هم از رم هستید ؟
sir.kamran;@marziemir #مهسا_امینی
sir.kamran;#مهسا_امینی
sir.kamran;@pegahzamani_ #مهسا_امینی
sir.kamran;@raz.mousa #مهسا_امینی
sir.kamran;@pari.ojaghi #مهسا_امینی
sir.kamran;@elaheh_shahrabadi #مهسا_امینی
marzie.tan;@ykeshavarz @miniibaa
sepideh_es2;بچه ها از بلژیک کسی هست بخواد بره؟
sir.kamran;@rayhanehhaghgoo #مهسا_امینی
nima_brothers;👋
sir.kamran;#مهسا_امینی
sir.kamran;@the_puneh #مهسا_امینی
somayevakili97;@shahrbanootaromi دوست عزیزم خانم اختر قاسمی میخوان اتوبوس بگیرن میتونید باهاشون هماهنگ شید ببینید به چه صورته.
sir.kamran;@reyhan.no #مهسا_امینی
sir.kamran;@baran.__.baranii #مهسا_امینی
sir.kamran;@marziemir #مهسا_امینی
zeesoori;@shadysharify تو پی وی باهات هماهنگ میشم
sir.kamran;@aliasgsotoudeh_nk #مهسا_امینی
sir.kamran;@somi.sheikhi #مهسا_امینی
samantha_lampert;ما تقریبا چهارنفریم از نیس فرانسه و اگر کسی تو برلین بتونه ی شب بهمون جا  بده ممنون میشیم
elahe.bordbar;با چی میرید ؟
tuska.mam;@shafiansanaz از دانمارک ۲ تا دانشجوییم😊
maryakh10982;@foodmoodbykimia 😳
_yellow.home_;بچه ها من بلژیکم، اینجا کسی هست که از بلژیک بخواد بره؟؟؟
ex.prayer;سلام . من فرانکفورت هستم.یک نفر ..از این طرف اگر کسی میره و جای خالی داره با من تماس بگیره ممنون میشم  #مهسا_امینی  #سرنگونی_رژیم_جمهوری_اسلامی
elahe.bordbar;@ayshaylei من یونشوپینگم میتونم بیام باهاتون ؟
inspiration_spring;@royartin_ منم از دورتمند دوست دارم برم
s_m.de;من و دوستم از اشتوتگارت میایم کسی جای خالی داره؟؟؟؟؟؟ همه با هم برای آزادی 🙌
soodabesarvestani;@shafiansanaz من بلیت خودم و گرفتم ولی دوتا از دانشجوهای اینجا هم خیلی دوست دارن بیان که متاسفانه بلیت خیلی براشون گرون هست. ما از تولوز میریم. متاسفانه واسه خودمم مقدور نیست کمکشون کنم.
omidkps;"دوستان داخل آلمان داریم به دویچه بان ایمیل میزنیم که بلیط مجانی بهمون بدن که همه بتونن بیان. هرکی میتونه اینکارو کنه هرچی تعداد ایمیل ها بیشتر بشه بیشتر احتمالش هست. واسه اوکرایینیا اینکارو کرده بودن. فقط کافیه چند ثانیه وقت بذارین ایمیل بزنین. متن و آدرس ایمیل رو براتون میذارم:

ايميل به Deutsche Bahn 
براى درخواست بليط مجانى قطار به برلين 

Sehr geehrte Damen und Herren, 

im Namen der aktuellen Proteste im Iran und zur Unterstützung der iranischen Demonstranten bitten wir Sie, iranischen Staatsangehörigen in Deutschland am Samstag, den 22.10.22, die Reise nach Berlin kostenlos zu ermöglichen.
Vielen Dank im Voraus 
Mit freundlichen Grüßen

به این ایمیل آدرس 👇👇👇👇👇

🍃🍃kundendialog@bahn.de🍃🍃"
mahroohoseinian;@bahareakrami مرسی من چطوری میتونم با شما در تماس باشم ؟
shideh.rzf;از سوئیس کسی نیس؟
